pk,id,name,latitude,longitude,speakers_count,father_pk,family_pk,level,child_family_count,child_language_count,child_dialect_count,macroareas,status
986,tepe1243,Tepehua,,,9000.0,272.0,272.0,family,0,3,0,North America,
987,toto1252,Totonac,,,260000.0,272.0,272.0,family,4,9,2,North America,
988,nort2938,Northern Haida,54.004532,-132.079257,,274.0,274.0,language,0,0,0,North America,nearly extinct
989,sout2956,Southern Haida,53.2616,-132.00799999999998,,274.0,274.0,language,0,0,0,North America,nearly extinct
990,yang1288,Yangman,-14.4964,132.52,,275.0,275.0,language,0,0,0,Australia,extinct
991,dago1245,Dagoman,-15.764000000000001,132.379,,275.0,275.0,language,0,0,0,Australia,extinct
992,ward1246,Wardaman,-15.4155,132.60399999999998,50.0,275.0,275.0,language,0,0,0,Australia,moribund
993,makl1246,Maklew,-7.74424,139.273,120.0,277.0,277.0,language,0,0,0,Papunesia,shifting
994,yelm1242,Yelmek,-7.4453,139.096,400.0,277.0,277.0,language,0,0,0,Papunesia,moribund
995,anda1283,Andai,-4.9644900000000005,143.637,400.0,280.0,280.0,language,0,0,5,Papunesia,shifting
996,tape1242,Tapei,-4.77763,143.33700000000005,290.0,280.0,280.0,language,0,0,2,Papunesia,shifting
997,uncl1510,Unclassified Arafundi,,,,280.0,280.0,family,0,1,0,Papunesia,
998,nanu1240,Nanubae,-4.7173099999999994,143.937,1300.0,280.0,280.0,language,0,0,3,Papunesia,shifting
999,naml1240,Namla,-3.58,140.66,30.0,281.0,281.0,language,0,0,0,Papunesia,moribund
1000,tofa1246,Tofanma,-3.7432199999999995,140.591,250.0,281.0,281.0,language,0,0,0,Papunesia,threatened
1001,quec1386,Quechua I,,,,282.0,282.0,family,7,20,18,South America,
1002,quec1388,Quechua II,,,,282.0,282.0,family,14,24,49,South America,
1003,ngan1305,Ngangea-So,,,,283.0,283.0,family,0,2,0,Africa,
1004,ikkk1242,Ik,3.61407,34.2507,7500.0,283.0,283.0,language,0,0,0,Africa,threatened
1005,bell1243,Bella Coola,52.3448,-126.689,17.0,285.0,285.0,language,0,0,3,North America,nearly extinct
1006,coas1325,Coast Salish,,,,285.0,285.0,family,6,16,54,North America,
1007,inte1241,Interior Salish,,,,285.0,285.0,family,3,8,14,North America,
1008,chir1297,Chirino,,,,287.0,287.0,dialect,0,0,0,South America,
1009,chap1270,Chapara,,,,287.0,287.0,dialect,0,0,0,South America,
1010,kand1305,Kandoashi,,,,287.0,287.0,dialect,0,0,0,South America,
1011,masa1311,Masacara,-17.0,-41.5,,288.0,288.0,language,0,0,0,South America,extinct
1012,nucl1661,Nuclear Kamakanan,,,,288.0,288.0,family,0,3,0,South America,
1013,koll1254,Kol,,,,289.0,289.0,dialect,0,0,0,Papunesia,
1014,suii1244,Sui (Papua New Guinea),,,,289.0,289.0,dialect,0,0,0,Papunesia,
1015,sout3133,South Dravidian,,,,290.0,290.0,family,36,69,116,Eurasia,
1016,unun9890,Unclassified Dravidian,,,,290.0,290.0,family,0,1,0,Eurasia,
1017,cent2227,Central Dravidian,,,,290.0,290.0,family,3,5,12,Eurasia,
1018,nort2698,North Dravidian,,,,290.0,290.0,family,3,5,12,Eurasia,
1019,ronc1236,Roncalese,,,,291.0,291.0,dialect,0,0,0,Eurasia,
1020,alto1237,Alto Navarro Meridional,,,,291.0,291.0,dialect,0,0,0,Eurasia,
1021,bisc1236,Biscayan,,,247000.0,291.0,291.0,dialect,0,0,0,Eurasia,
1022,guip1235,Guipuzcoan,,,,291.0,291.0,dialect,0,0,0,Eurasia,
1023,aval1237,Alavan,,,,291.0,291.0,dialect,0,0,0,Eurasia,
1024,alto1238,Alto Navarro Septentrional,,,,291.0,291.0,dialect,0,0,0,Eurasia,
1025,basq1249,Navarro-Labourdin Basque,,,,291.0,291.0,dialect,0,0,3,Eurasia,
1026,basq1250,"Basque, Souletin",,,8700.0,291.0,291.0,dialect,0,0,0,Eurasia,
1027,kipe1235,Kipea,-7.3929740000000015,-37.141114,,294.0,294.0,dialect,0,0,0,South America,extinct
1028,dzub1241,Dzubukua,-8.514206,-39.397888,,294.0,294.0,dialect,0,0,0,South America,extinct
1029,sabu1246,Sabujá,,,,294.0,294.0,dialect,0,0,0,South America,
1030,kamu1237,Kamurú,,,,294.0,294.0,dialect,0,0,0,South America,
1031,kanu1280,Kanum,,,100.0,295.0,295.0,family,2,4,6,Papunesia,
1032,more1256,Morehead-Maro,,,,295.0,295.0,family,5,15,16,Papunesia,
1033,japa1256,Japanesic,,,,296.0,296.0,family,1,3,125,"Eurasia, Papunesia",
1034,hach1239,Hachijo,33.109444,139.79138899999998,,296.0,296.0,language,0,0,0,Eurasia,shifting
1035,ryuk1243,Ryukyuan,,,,296.0,296.0,family,8,11,28,Eurasia,
1036,perm1256,Permian,,,,298.0,298.0,family,1,4,8,Eurasia,
1037,finn1317,Finnic,,,,298.0,298.0,family,7,12,50,Eurasia,
1038,hung1274,Hungarian,46.9068585714,19.6555271429,13000000.0,298.0,298.0,language,0,0,10,Eurasia,not endangered
1039,mari1278,Mari,,,510000.0,298.0,298.0,family,0,2,3,Eurasia,
1040,saam1281,Saami,,,30000.0,298.0,298.0,family,6,11,9,Eurasia,
1041,khan1279,Khantyic,,,,298.0,298.0,family,2,5,13,Eurasia,
1042,samo1298,Samoyedic,,,,298.0,298.0,family,4,8,23,Eurasia,
1043,mord1256,Mordvin,,,,298.0,298.0,family,0,2,0,Eurasia,
1044,mans1269,Mansic,,,,298.0,298.0,family,1,3,4,Eurasia,
1045,hunz1248,Hunza,,,,299.0,299.0,dialect,0,0,0,Eurasia,
1046,yasi1237,Yasin,,,,299.0,299.0,dialect,0,0,0,Eurasia,
1047,naga1398,Nagar,,,,299.0,299.0,dialect,0,0,0,Eurasia,
1048,yuru1262,Yuruna,,,,300.0,300.0,family,1,3,1,South America,
1049,mawe1252,Maweti-Guarani,,,,300.0,300.0,family,28,50,42,South America,
1050,mond1266,Monde,,,,300.0,300.0,family,2,5,3,South America,
1051,puru1268,Purubora-Ramarama,,,,300.0,300.0,family,1,3,1,South America,
1052,mund1329,Mundurukuic,,,,300.0,300.0,family,0,2,0,South America,
1053,arik1263,Arikemic,,,,300.0,300.0,family,0,2,0,South America,
1054,tupa1251,Tuparic,,,,300.0,300.0,family,2,6,0,South America,
1055,masa1312,Masaká,,,,301.0,301.0,dialect,0,0,0,South America,
1056,kamu1260,Kamula,-7.28798,142.639,800.0,302.0,302.0,language,0,0,0,Papunesia,shifting
1057,awin1249,Elevala,,,,302.0,302.0,family,0,2,3,Papunesia,
1058,nucl1327,Limilngan,-12.4294,131.845,,303.0,303.0,language,0,0,0,Australia,extinct
1059,wuln1239,Wulna,-12.3022,131.261,,303.0,303.0,language,0,0,0,Australia,extinct
1060,west2502,West-Central Heibanic,,,,305.0,305.0,family,4,8,25,Africa,
1061,east2429,Eastern Heibanic,,,,305.0,305.0,family,0,2,2,Africa,
1062,khoe1241,Khoe,,,,306.0,306.0,family,10,13,43,Africa,
1063,kwad1244,Kwadi,-15.8745,12.1147,,306.0,306.0,language,0,0,1,Africa,extinct
1064,aird1238,Aird Hills,,,,307.0,307.0,dialect,0,0,0,Papunesia,
1065,poro1255,Porome,,,,307.0,307.0,dialect,0,0,0,Papunesia,
1066,kuik1245,Kuikuroan,,,1000.0,308.0,308.0,family,1,3,2,South America,
1067,paru1239,Parukotoan,,,,308.0,308.0,family,1,3,5,South America,
1068,apal1257,Apalaí,1.4979200000000001,-54.7457,450.0,308.0,308.0,language,0,0,0,South America,shifting
1069,vene1261,Venezuelan Cariban,,,,308.0,308.0,family,7,14,8,South America,
1070,yukp1242,Opon-Yukpan,,,,308.0,308.0,family,1,3,5,South America,
1071,yawa1262,Yawaperi,,,,308.0,308.0,family,0,2,3,South America,
1072,peko1235,Pekodian,,,,308.0,308.0,family,1,5,0,South America,
1073,guia1242,Guianan,,,,308.0,308.0,family,5,11,8,"North America, South America",
1074,cree1270,Creek,31.0,-87.5,4500.0,310.0,310.0,language,0,0,2,North America,moribund
1075,west2614,Western Muskogean,,,,310.0,310.0,family,0,2,0,North America,
1076,alab1247,Alabaman-Koasati,,,,310.0,310.0,family,0,3,0,North America,
1077,mika1239,Mikasuki,26.08142,-80.90847,290.0,310.0,310.0,language,0,0,2,North America,shifting
1078,sali1297,Saliban,,,,311.0,311.0,family,1,3,0,South America,
1079,yuwa1244,Hoti,5.63879,-65.4267,640.0,311.0,311.0,language,0,0,0,South America,shifting
1080,amar1274,Amarakaeri,-12.4931,-70.5533,1600.0,312.0,312.0,language,0,0,1,South America,shifting
1081,huac1244,Huachipaeri,-13.319510000000001,-71.22749,310.0,312.0,312.0,language,0,0,4,South America,nearly extinct
1082,hibi1243,Hibito,-6.58333,-77.7,,313.0,313.0,language,0,0,0,South America,extinct
1083,chol1284,Cholón,-9.23129,-75.9621,,313.0,313.0,language,0,0,0,South America,extinct
1084,wany1247,Wanyi,-18.6529,137.608,,314.0,314.0,language,0,0,0,Australia,extinct
1085,gara1269,Garrwa,-17.4504,137.72014,129.0,314.0,314.0,language,0,0,2,Australia,moribund
1086,bina1273,Binaharic,,,630.0,316.0,316.0,family,0,2,0,Papunesia,
1087,laua1245,Laua,-10.16145,149.25746999999996,,316.0,316.0,language,0,0,0,Papunesia,extinct
1088,mora1273,Morawa,-10.1321,148.671,1100.0,316.0,316.0,language,0,0,0,Papunesia,not endangered
1089,domu1245,Domu,-10.151,148.45,950.0,316.0,316.0,language,0,0,0,Papunesia,not endangered
1090,bauw1241,Bauwakic,,,520.0,316.0,316.0,family,0,2,0,Papunesia,
1091,mail1248,Mailu,-10.3657,149.52100000000004,8500.0,316.0,316.0,language,0,0,9,Papunesia,not endangered
1092,momi1242,Momina,-4.812,139.821,2200.0,317.0,317.0,language,0,0,0,Papunesia,shifting
1093,momu1241,Momuna,-5.04431,139.26,2200.0,317.0,317.0,language,0,0,0,Papunesia,shifting
1094,nasi1247,Nasioi,,,,318.0,318.0,family,0,6,8,Papunesia,
1095,buin1247,Buin,,,,318.0,318.0,family,0,3,1,Papunesia,
1096,quec1390,Quechua-Puquina,,,,319.0,319.0,family,0,1,0,South America,
1097,serb1269,Serbian-Romani,,,,319.0,319.0,family,0,1,0,Eurasia,
1098,guri1251,Gurindji-Kriol,,,,319.0,319.0,family,0,1,0,Australia,
1099,pers1247,Persian-Indic,,,,319.0,319.0,family,0,4,0,Eurasia,
1100,germ1288,German-Yiddish-Romani-Rotwelsch,,,,319.0,319.0,family,0,1,0,Eurasia,
1101,miao1234,Miao-Dong,,,,319.0,319.0,family,0,1,0,Eurasia,
1102,span1267,Spanish-Quechua,,,,319.0,319.0,family,0,1,0,South America,
1103,cakc1245,Cakchiquel-Quiche,,,,319.0,319.0,family,0,1,0,North America,
1104,warl1257,Warlpiri-Kriol,,,,319.0,319.0,family,0,1,0,Australia,
1105,sout2981,Southern Wakashan,,,,320.0,320.0,family,1,3,0,North America,
1106,nort2964,Northern Wakashan,,,,320.0,320.0,family,1,3,3,North America,
1107,koly1247,Kolymic,,,,322.0,322.0,family,0,2,0,Eurasia,
1108,yuka1240,Malyj Anjuj Omok,68.051787,162.958525,,322.0,322.0,language,0,0,0,Eurasia,extinct
1109,nort2745,Northern Yukaghir,70.498,157.85299999999995,370.0,322.0,322.0,language,0,0,0,Eurasia,nearly extinct
1110,tini1247,Tinigua Proper,,,,323.0,323.0,dialect,0,0,0,South America,
1111,pami1248,Pamigua,,,,323.0,323.0,dialect,0,0,0,South America,
1112,kima1245,Kimaama-Riantana,,,,325.0,325.0,family,0,2,0,Papunesia,
1113,ndom1245,Ndom,-7.93553,138.019,1200.0,325.0,325.0,language,0,0,0,Papunesia,threatened
1114,yuro1248,Yurok,41.3262,-123.824,,326.0,326.0,language,0,0,0,North America,extinct
1115,algo1256,Algonquian-Blackfoot,,,,326.0,326.0,family,20,44,40,North America,
1116,wiyo1248,Wiyot,39.2492,-122.95200000000001,,326.0,326.0,language,0,0,0,North America,extinct
1117,fuln1248,Fulniô Proper,,,,329.0,329.0,dialect,0,0,0,South America,
1118,yate1241,Yatê,,,,329.0,329.0,dialect,0,0,0,South America,
1119,mata1290,Mataguayo I,,,,330.0,330.0,family,0,2,2,South America,
1120,mata1291,Mataguayo II,,,,330.0,330.0,family,2,5,1,South America,
1121,ramm1241,Ram,,,,331.0,331.0,family,1,3,2,Papunesia,
1122,nuku1256,Nukuma,,,,331.0,331.0,family,1,3,4,Papunesia,
